DR_NO,DATE OCC,TIME OCC,AREA,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Status Desc,LOCATION,LAT,LON,City,Crime Subtype,Perp Age,Perp Sex,Arrest
200915423,10/02/2020 12:00:00 AM,2200,9,932,626,INTIMATE PARTNER - SIMPLE ASSAULT,26,M,Adult Arrest,15100    VICTORY                      BL,34.1867,-118.4621,Los Angeles,INTIMATE PARTNER - SIMPLE ASSAULT,,,True
231311851,06/05/2023 12:00:00 AM,2000,13,1365,510,VEHICLE - STOLEN,0,,Invest Cont,1400 E  48TH                         ST,34.0002,-118.25,Los Angeles,VEHICLE - STOLEN,,,False
200504613,01/13/2020 12:00:00 AM,2100,5,528,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",43,M,Invest Cont,1000    FLINT                        AV,33.7837,-118.2498,Los Angeles,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,False
231510454,05/31/2023 12:00:00 AM,930,15,1566,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",60,F,Adult Arrest,MOORPARK,34.1504,-118.3704,Los Angeles,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,True
230307564,03/10/2023 12:00:00 AM,1023,3,328,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,Invest Cont,600 W  28TH                         ST,34.0261,-118.2774,Los Angeles,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,,False
201421348,12/07/2020 12:00:00 AM,1600,14,1434,310,BURGLARY,44,M,Invest Cont,3600    WASATCH                      AV,34.0071,-118.4392,Los Angeles,BURGLARY,,,False
230804400,01/11/2023 12:00:00 AM,1845,8,853,330,BURGLARY FROM VEHICLE,0,F,Invest Cont,BELOIT,34.0445,-118.4453,Los Angeles,BURGLARY FROM VEHICLE,,,False
211900708,07/20/2021 12:00:00 AM,600,19,1917,520,VEHICLE - ATTEMPT STOLEN,35,M,Invest Cont,14000    ASTORIA                      ST,34.3123,-118.4379,Los Angeles,VEHICLE - ATTEMPT STOLEN,,,False
201417225,08/01/2020 12:00:00 AM,800,14,1488,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,X,Adult Other,9000    BELLANCA                     AV,33.9574,-118.3805,Los Angeles,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,,False
201211900,04/18/2020 12:00:00 AM,1015,12,1219,510,VEHICLE - STOLEN,0,,Invest Cont,5300 S  FIGUEROA                     ST,33.9942,-118.2827,Los Angeles,VEHICLE - STOLEN,,,False
220916321,11/14/2022 12:00:00 AM,1530,9,941,510,VEHICLE - STOLEN,0,,Adult Other,5600 N  SEPULVEDA                    BL,34.1721,-118.4661,Los Angeles,VEHICLE - STOLEN,,,False
220104510,01/09/2022 12:00:00 AM,200,1,112,624,BATTERY - SIMPLE ASSAULT,28,M,Invest Cont,MAIN,34.0541,-118.2417,Los Angeles,BATTERY - SIMPLE ASSAULT,,,False
210205067,01/16/2021 12:00:00 AM,920,2,275,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",65,M,Invest Cont,900 S  BONNIE BRAE                  ST,34.0511,-118.2774,Los Angeles,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,False
231316203,08/25/2023 12:00:00 AM,2230,13,1347,210,ROBBERY,21,M,Invest Cont,VERNON                       AV,34.0039,-118.2431,Los Angeles,ROBBERY,,,False
200809135,04/22/2020 12:00:00 AM,1200,8,828,662,"BUNCO, GRAND THEFT",39,F,Invest Cont,10500    WILSHIRE                     BL,34.0649,-118.4372,Los Angeles,"BUNCO, GRAND THEFT",,,False
201016080,12/14/2020 12:00:00 AM,1630,10,1045,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",67,M,Invest Cont,18000    MARTHA                       ST,34.1731,-118.5239,Los Angeles,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,False
220716705,11/13/2022 12:00:00 AM,1800,7,752,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),51,F,Invest Cont,1200 S  CRESCENT HEIGHTS             BL,34.0544,-118.3712,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
201404857,01/15/2020 12:00:00 AM,1510,14,1443,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39,M,Adult Arrest,2400    LINCOLN                      BL,33.994,-118.4526,Los Angeles,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,True
