ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
268622070,2023-05-22,CRIMINAL MIS 2 & 3,121.0,CRIMINAL MISCHIEF & RELATED OF,B,40,25-44,F,40.807184,-73.918356,,,True,New York
268416092,2023-05-17,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,M,24,25-44,F,40.794507,-73.966322,,,True,New York
263813294,2023-02-18,"WEAPONS, POSSESSION, ETC",236.0,DANGEROUS WEAPONS,B,44,25-44,M,40.84126204,-73.92803944,,,True,New York
268200650,2023-05-13,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,M,18,25-44,M,40.76539,-73.985702,,,True,New York
267173810,2023-04-24,STRANGULATION 1ST,106.0,FELONY ASSAULT,K,68,45-64,M,40.638659,-74.022462,,,True,New York
262532360,2023-01-26,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,M,24,25-44,M,40.78895938,-73.97594171,,,True,New York
264662299,2023-03-07,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,M,13,25-44,F,40.737074,-73.982962,,,True,New York
262777833,2023-01-31,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,M,14,65+,M,40.747586,-73.989392,,,True,New York
262655091,2023-01-28,"TRESPASS 3, CRIMINAL",352.0,CRIMINAL TRESPASS,K,79,45-64,M,40.696816,-73.946564,,,True,New York
267339049,2023-04-26,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,K,62,45-64,M,40.60611635,-73.99310335,,,True,New York
265268961,2023-03-17,RECKLESS ENDANGERMENT 2,355.0,OFFENSES AGAINST THE PERSON,K,62,45-64,M,40.60388761,-74.00617256,,,True,New York
261932806,2023-01-15,MENACING 1ST DEGREE (VICT NOT,126.0,MISCELLANEOUS PENAL LAW,M,34,18-24,M,40.86631491,-73.91859764,,,True,New York
261289385,2023-01-03,"NY STATE LAWS,UNCLASSIFIED VIO",677.0,OTHER STATE LAWS,K,78,25-44,M,40.68405249,-73.97745785,,,True,New York
266967567,2023-04-20,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,B,41,45-64,M,40.820815,-73.899397,,,True,New York
262371989,2023-01-23,"NY STATE LAWS,UNCLASSIFIED FEL",125.0,NYS LAWS-UNCLASSIFIED FELONY,K,70,25-44,M,40.63399727,-73.94777257,,,True,New York
270523406,2023-06-28,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,B,44,25-44,M,40.833209,-73.927554,,,True,New York
261369075,2023-01-04,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,S,123,18-24,M,40.52502718,-74.23926631,,,True,New York
267474264,2023-04-30,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,M,32,45-64,M,40.821301,-73.939321,,,True,New York
269079332,2023-05-31,BAIL JUMPING 3,359.0,OFFENSES AGAINST PUBLIC ADMINI,Q,102,45-64,M,40.712206,-73.825952,,,True,New York
261875981,2023-01-13,"FORGERY,ETC.-MISD.",358.0,OFFENSES INVOLVING FRAUD,B,46,25-44,M,40.86099712,-73.89642499,,,True,New York
