ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12837555,JF408395,2022-09-24 01:23:00,014XX W ROOSEVELT RD,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,1231,12.0,28.0,28.0,04B,1167058.0,1894806.0,2022,01/03/2023 03:40:27 PM,41.866908256,-87.662180514,"(41.866908256, -87.662180514)"
11963656,JD129632,2020-01-26 18:40:00,042XX W ARMITAGE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,2522,25.0,35.0,20.0,26,1147980.0,1912955.0,2020,02/02/2020 03:41:09 PM,41.917099024,-87.731751521,"(41.917099024, -87.731751521)"
13008356,JG183338,2023-03-12 22:14:00,100XX S AVENUE M,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,False,432,4.0,10.0,52.0,14,1201484.0,1839141.0,2023,08/19/2023 03:40:26 PM,41.713352985,-87.537692491,"(41.713352985, -87.537692491)"
12830554,JF400263,2022-09-17 22:00:00,066XX S KNOX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,833,8.0,13.0,64.0,08B,1146526.0,1860081.0,2022,01/03/2023 03:40:27 PM,41.77203353,-87.738439178,"(41.77203353, -87.738439178)"
12394898,JE266390,2021-06-15 00:56:00,082XX S LANGLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,631,6.0,6.0,44.0,08B,1182331.0,1850471.0,2021,06/22/2021 03:40:52 PM,41.744908103,-87.607486644,"(41.744908103, -87.607486644)"
12052461,JD234402,2020-05-16 17:30:00,064XX S YALE AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,722,7.0,20.0,68.0,08B,1175609.0,1862380.0,2020,05/23/2020 03:41:31 PM,41.777740745,-87.631760999,"(41.777740745, -87.631760999)"
12367847,JE232912,2021-05-17 10:54:00,029XX N AUSTIN AVE,143C,WEAPONS VIOLATION,UNLAWFUL POSSESSION - AMMUNITION,STREET,True,False,2514,25.0,30.0,19.0,15,1135886.0,1918835.0,2021,05/24/2021 03:40:54 PM,41.933458611,-87.776045155,"(41.933458611, -87.776045155)"
12059918,JD243246,2020-04-03 09:00:00,087XX S COTTAGE GROVE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER (SPECIFY),False,False,632,6.0,8.0,44.0,11,1183086.0,1847385.0,2020,05/29/2020 03:40:28 PM,41.736422269,-87.604815966,"(41.736422269, -87.604815966)"
12272383,JE116027,2021-01-11 09:00:00,015XX E 65TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,314,3.0,5.0,42.0,11,1187486.0,1862194.0,2021,01/21/2021 03:39:33 PM,41.7769562,-87.588226153,"(41.7769562, -87.588226153)"
12407808,JE282492,2021-06-27 14:00:00,051XX S HARPER AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,234,2.0,4.0,41.0,05,1187155.0,1871341.0,2021,07/04/2021 03:40:07 PM,41.802064139,-87.589149319,"(41.802064139, -87.589149319)"
